igbo,english
Insulin,Insulin
Drip,Intravenous Fluid
Sedative,Sedative
Anaesthesia,Anaesthesia
Nlekọta Ọgwụ,Medication Management
Mmeghachi Ọgwụ,Drug Reaction
Nchekwa Ọgwụ,Drug Storage
Ụbọchị Ngwụcha Ọgwụ,Expiry Date
Ọgwụ Akwụkwọ,Prescription Drug
Ọgwụ Na-enweghị Prescription,Over-the-Counter Drug
Dọkịta,Doctor
Nọọsụ,Nurse
Ụlọ ọgwụ,Hospital
Onye ọrịa,Patient
Ahụ ike,Health
Ọbara,Blood
Nyocha,Examination
Ọrịa,Sickness
Nlekọta,Care
Dọkịta bịara n'ụtụtụ.,The doctor arrived in the morning.
Nọọsụ nyere ọgwụ.,The nurse administered medicine.
Ahụ adịghị ya mma.,He is not feeling well.
Ha gara ụlọ ọgwụ.,They went to the hospital.
Nwata ahụ nwere ọkụ.,The child has a fever.
A ga-enyocha ọbara gị.,Your blood will be tested.
Na-aṅụ mmiri ọtụtụ.,Drink plenty of water.
Nri ọma na-eme ka ahụ dị ike.,Good food keeps the body healthy.
A ga-eme gị ọgwụgwọ.,You will receive treatment.
Onye ọrịa zuru ike.,The patient rested.
Ụlọ Ọgwụ,Hospital
Onye Ọrịa,Patient
Nlekọta Ọrịa,Patient Care
Ndebanye Ọrịa,Patient Registration
Ụlọ Nlekọta Mberede,Emergency Unit
Ọgwụgwọ,Treatment
Nnyocha Ahụ Ike,Medical Examination
Ịwa Ahụ,Surgery
Nlekọta Ahụ Ike,Healthcare
Ụlọ Nwata,Children Ward
Ụlọ Ndị Inyom,Maternity Ward
Nlekọta Ndị Agadi,Elderly Care
Nyocha Ọbara,Blood Test
Nyocha Mmiri,Urine Test
Ụlọ Ọgwụ Obodo,Clinic
Ụlọ Ọgwụ Gọọmenti,Government Hospital
Nlekọta Mberede,Emergency Care
Nnyefe Ọrịa,Patient Referral
Ụgbọ Mberede,Ambulance
Nlekọta Nwaanyị Dị Ime,Antenatal Care
Ịmụ Nwa,Child Delivery
Nlekọta Mgbe Amuchara Nwa,Postnatal Care
Ọgwụgwụ Ọrịa,Discharge
Nlekọta Ahụike Obodo,Community Health
Nkwado Ahụike,Health Support
Nchekwa Ahụ Ike,Health Protection
Ahụ Ike,Health
Obi,Heart
Ụbụrụ,Brain
Akụrụ,Kidney
Imeju,Liver
Akpa Ume,Lungs
Ọkpụkpụ,Bone
Akwara,Muscle
Anya,Eye
Ntị,Ear
Imi,Nose
Ọnụ,Mouth
Ezé,Tooth
Akpụkpọ Ahụ,Skin
Nyocha,Diagnosis
Nnyocha Ahụ Ike,Medical Checkup
Nyocha Laboratory,Laboratory Test
Nsonaazụ Test,Test Result
Mgbali Ọbara,Blood Pressure
Ọkwa Shuga,Blood Sugar Level
Nchekwa Ahụ Ike,Health Safety
Mmetụta Ọgwụ,Side Effect
Ahụ́ Ọma,Wellness
Mgbochi Ọrịa,Disease Prevention
Nlekọta Ahụike Obodo,Community Healthcare
Nkwado Ahụ Ike,Health Promotion
Kọmputa ahụ na-arụ ọrụ nke ọma,The computer is working properly
Anyi dere ngwanrọ ọhụrụ,We developed new software
Data ahụ echekwara nke ọma,The data was stored properly
Ịntanetị anaghị arụ ọrụ taa,The internet is not working today
Anyi jikọtara sava ahụ,We connected the server
Cybersecurity,Cybersecurity
Nchekwa Data,Data Security
Password,Password
Authentication,Authentication
Encryption,Encryption
Firewall,Firewall
Virus,Virus
Malware,Malware
Spyware,Spyware
Phishing,Phishing
Attack,Attack
Threat,Threat
Risk,Risk
Vulnerability,Vulnerability
Hacker,Hacker
Ethical Hacker,Ethical Hacker
Network Security,Network Security
Access Control,Access Control
Data Breach,Data Breach
Security Policy,Security Policy
Backup,Backup
Recovery,Recovery
Monitoring,Monitoring
Audit,Audit
VPN,VPN
Two Factor Authentication,Two Factor Authentication
Digital Certificate,Digital Certificate
Security Update,Security Update
Cloud Security,Cloud Security
Incident Response,Incident Response
Database,Database
Ahịrị,Row
Kọlụm,Column
Primary Key,Primary Key
Foreign Key,Foreign Key
SQL,SQL
MySQL,MySQL
PostgreSQL,PostgreSQL
SQLite,SQLite
MongoDB,MongoDB
Query,Query
Insert,Insert
Update,Update
Delete,Delete
Select,Select
Index,Index
Restore,Restore
Database Server,Database Server
Schema,Schema
Migration,Migration
Record,Record
Transaction,Transaction
Data Integrity,Data Integrity
Normalization,Normalization
CSV File,CSV File
Storage,Storage
Kọmputa,Computer
Ngwanrọ,Software
Ngwaike,Hardware
Ịntanetị,Internet
Nchekwa,Storage
Sava,Server
Netwọk,Network
Mmemme,Program
Algorithm,Algorithm
Mmepe Weebụ,Web Development
Weebụsaịtị,Website
Peeji Weebụ,Web Page
Frontend,Frontend
Backend,Backend
Server,Server
Client,Client
HTML,HTML
CSS,CSS
React,React
Vue,Vue
Angular,Angular
API,API
REST API,REST API
FastAPI,FastAPI
Django,Django
Authorization,Authorization
Login,Login
Signup,Signup
Dashboard,Dashboard
Deployment,Deployment
Hosting,Hosting
Domain Name,Domain Name
Responsive Design,Responsive Design
User Interface,User Interface
User Experience,User Experience
Navigation,Navigation
Web Application,Web Application
Software Engineering,Software Engineering
System Design,System Design
Requirement,Requirement
Analysis,Analysis
Implementation,Implementation
Testing,Testing
Maintenance,Maintenance
Documentation,Documentation
Project,Project
Sprint,Sprint
Agile,Agile
Scrum,Scrum
Bug,Bug
Feature,Feature
Release,Release
Repository,Repository
GitHub,GitHub
GitLab,GitLab
Branch,Branch
Merge,Merge
Pull Request,Pull Request
Code Review,Code Review
Architecture,Architecture
Module,Module
Component,Component
Workflow,Workflow
Lifecycle,Lifecycle
Development Team,Development Team
Kọmputa ahụ na-arụ ọrụ nke ọma.,The computer is working properly.
Ana m eji ekwentị m eme ihe.,I am using my phone.
Ịntanetị ahụ dị ngwa.,The internet is fast.
Ha wụnyere ngwanrọ ọhụrụ.,They installed new software.
Paswọọdụ ahụ dị nchebe.,The password is secure.
Sava ahụ kwụsịrị ịrụ ọrụ.,The server stopped working.
Ana m ebudata faịlụ ahụ.,I am downloading the file.
Ana m ezipu ozi email.,I am sending an email.
Ekwentị ọhụrụ ahụ dị mma.,The new phone is good.
Ngwa ahụ chọrọ mmelite.,The application needs an update.
Ana m eji Wi-Fi.,I am using Wi-Fi.
Nchekwa data dị mkpa.,Data security is important.
Robot ahụ na-arụ ọrụ ngwa ngwa.,The robot works quickly.
Ana m ede koodu ọhụrụ.,I am writing new code.
Sistemụ ahụ malitere ọzọ.,The system restarted.
Faịlụ ahụ echekwara nke ọma.,The file was saved successfully.
Ngwaọrụ ahụ nwere batrị ọhụrụ.,The device has a new battery.
Ha jikọtara netwọk ahụ.,They connected the network.
Ngwanrọ ahụ dị mfe iji.,The software is easy to use.
Ana m echekwa akwụkwọ ahụ n'igwe ojii.,I am saving the document to the cloud.
Onye ọrụ ugbo gara n'ubi.,The farmer went to the farm. (bt)
Ha kụrụ ọka.,They planted maize. (bt)
Mmiri ozuzo dara nke ọma.,It rained well. (bt)
A na-akụ ji n'oge opupu ihe ubi.,Yam is planted during the planting season. (bt)
Ehi ahụ na-ata ahịhịa.,The cow is grazing. (bt)
Ha na-akọ ala.,They are cultivating the land. (bt)
Nri anụmanụ dị mkpa.,Animal feed is important. (bt)
A na-azụ ọkụkọ n'ebe a.,Chickens are raised here. (bt)
Akwụkwọ nri toro nke ọma.,The vegetables grew well. (bt)
Ha chịkọtara mkpụrụ osisi.,They harvested fruits. (bt)
A na-eji fatịlaịza eme ka ala dị mma.,Fertilizer improves the soil. (bt)
Ubi ahụ buru ibu.,The farm is large. (bt)
Ana m akụ ose.,I am planting pepper. (bt)
Ha na-azụ ewu.,They are raising goats. (bt)
Osikapa dị njikere maka owuwe ihe ubi.,The rice is ready for harvest. (bt)
Onye ugbo gara ugbo taa,The farmer went to the farm today (bt)
Anyi kụrụ ọka n'ubi,We planted maize on the farm (bt)
Ji toro nke ọma,Yam grew well (bt)
Mmiri ozuzo nyere aka n'ugbo,Rainfall helped the farm (bt)
A na-eji fatịlaịza eme ka ihe too nke ọma,Fertilizer helps crops grow well (bt)
Anyi ga-akọ ugbo n'afọ a,We will farm this year (bt)
Ubi ahụ buru ibu,The farm is large (bt)
A kụrụ osikapa n'ubi,Rice was planted on the farm (bt)
A ga-akpọkọta ihe ubi n'izu ọzọ,The harvest will be gathered next week (bt)
Onye ugbo nwere ọtụtụ ihe ubi,The farmer has many crops (bt)
Ọrụ Ugbo,Farming (bt)
Onye Ugbo,Farmer (bt)
Ubi,Farm (bt)
Ala,Land (bt)
Ịkụ Ihe,Planting (bt)
Owuwe Ihe,Uharvest (bt)
Fatịlaịza,Fertilizer (bt)
Mmiri,Irrigation Water (bt)
Ngwaọrụ Ugbo,Farm Tools (bt)
Traktọ,Tractor (bt)
Mkpụrụ Osisi,Seed (bt)
Nri Osisi,Plant Nutrients (bt)
Mmepe Ugbo,Agricultural Development (bt)
Ọrụ Ubi,Cultivation (bt)
Nlekọta Osisi,Crop Management (bt)
Ahịhịa,Weed (bt)
Ịkpụ Ahịhịa,Weeding (bt)
Ọrụ Ugbo Ọgbara Ọhụrụ,Modern Farming (bt)
Ngwaọrụ Ịkụ Ihe,Planting Equipment (bt)
Nsonaazụ Ugbo,Farm Yield (bt)
Ọrụ ugbo,Farming (bt)
Ugbo,Farm (bt)
Onye ugbo,Farmer (bt)
Ọka,Maize (bt)
Ji,Yam (bt)
Akpụ,Cassava (bt)
Osikapa,Rice (bt)
Akwukwo nri,Vegetable (bt)
Mkpụrụ osisi,Fruit (bt)
Anyi na-azụ ewu,We rear goats (bt)
Anyi nwere ọtụtụ ọkụkọ,We have many chickens (bt)
Ehi ahụ dị ike,The cow is healthy (bt)
A na-enye anụmanụ nri kwa ụbọchị,Animals are fed daily (bt)
Ọkụkọ ahụ tinyere akwa,The chicken laid eggs (bt)
Anyi na-elekọta anụmanụ nke ọma,We take good care of animals (bt)
Nri anụmanụ dị mkpa,Animal feed is important (bt)
Anyi rere ụfọdụ ewu,We sold some goats (bt)
Ehi ahụ mụrụ nwa,The cow gave birth (bt)
Ugbo anụmanụ bara uru,Livestock farming is profitable (bt)
Anyị na-eme emume ọdịnala.,We are celebrating a cultural festival. (bt)
Ndị mmadụ yi akwa ọdịnala.,People wore traditional clothes. (bt)
A kụrụ egwu ọdịnala.,Traditional music was played. (bt)
Ha gbara egwú.,They danced. (bt)
Omenala anyị bara uru.,Our culture is valuable. (bt)
A na-asụ Igbo n'ebe a.,Igbo is spoken here. (bt)
Ha gara ahịa ọdịnala.,They visited the traditional market. (bt)
Nna ochie kwuru akụkọ.,The elder told a story. (bt)
Ụmụaka mụtara ilu Igbo.,The children learned Igbo proverbs. (bt)
Emume ahụ jupụtara n'ọṅụ.,The festival was full of joy. (bt)
Amamihe Arụrụ arụ,Artificial Intelligence (bt)
Mmụta Igwe,Machine Learning (bt)
Mmụta Miri Emi,Deep Learning (bt)
Netwọkụ Akwara,Neural Network (bt)
Data,Data (bt)
Nhazi Data,Data Processing (bt)
Nchịkọta Data,Data Collection (bt)
Ọmụmatụ,Algorithm (bt)
Ọzụzụ Model,Model Training (bt)
Nnwale Model,Model Evaluation (bt)
Ihe Nlereanya,Model (bt)
Nkọwa,Prediction (bt)
Ntinye,Input (bt)
Nsonaazụ,Output (bt)
Akara,Token (bt)
Nkewa Okwu,Tokenization (bt)
Asụsụ,Language (bt)
Ntụgharị Asụsụ,Translation (bt)
Nchekwa Data,Dataset (bt)
Mkpado Data,Data Labeling (bt)
Nchekwa Model,Model Saving (bt)
Mmegharị Model,Model Loading (bt)
Ọmụmụ,Learning (bt)
Nkuzi,Training (bt)
Nnyocha,Evaluation (bt)
Mgbakọ,Computation (bt)
Ọmụmụ Akpaaka,Automatic Learning (bt)
Nkwado Data,Data Augmentation (bt)
Nlele,Validation (bt)
Nnwale,Testing (bt)
Ọnụego Mụta,Learning Rate (bt)
Ọnụọgụ Batch,Batch Size (bt)
Epoch,Epoch (bt)
Ọnụahịa Loss,Loss Function (bt)
Optimizer,Optimizer (bt)
Transformer,Transformer (bt)
Self Attention,Self Attention (bt)
Encoder,Encoder (bt)
Decoder,Decoder (bt)
Embedding,Embedding (bt)
Vocabulary,Nkọwa Okwu (bt)
Corpus,Nchịkọta Okwu (bt)
Sentence,Ahịrịokwu (bt)
Word,Okwu (bt)
Character,Mkpụrụedemede (bt)
Translation Model,Nlereanya Ntụgharị Asụsụ (bt)
Sequence,Nsochi (bt)
Vector,Vector (bt)
Dimension,Dimension (bt)
Attention,Nlebara Anya (bt)
Context,Nkowa (bt)
Hidden Layer,Oyi Akụkụ (bt)
Feature,Njirimara (bt)
Classification,Nkewa (bt)
Generation,Mepụta (bt)
Inference,Nkọwa Model (bt)
Backpropagation,Mgbasa Azụ (bt)
Gradient,Nkewa Gradient (bt)
Optimization,Nkwalite (bt)
Parameter,Parameter (bt)
Hyperparameter,Hyperparameter (bt)
Vocabulary Size,Nha Vocabulary (bt)
Language Pair,Njikọta Asụsụ (bt)
Source Language,Asụsụ Isi (bt)
Target Language,Asụsụ Ebumnuche (bt)
Preprocessing,Nhazi Mbụ (bt)
Normalization,Nhazi Nkịtị (bt)
Cleaning,Nhicha (bt)
Sentence Pair,Di Ahịrịokwu (bt)
Parallel Corpus,Parallel Corpus (bt)
Monolingual Corpus,Monolingual Corpus (bt)
Iterative Training,Ọzụzụ Ugboro Ugboro (bt)
Checkpoint,Ebe Nchekwa (bt)
GPU,GPU (bt)
CPU,CPU (bt)
Memory,Nchekwa (bt)
Accuracy,Izi Ezi (bt)
BLEU Score,BLEU Score (bt)
Evaluation Metric,Ntụle (bt)
Prediction Output,Nsonaazụ Amụma (bt)
Text Generation,Mepụta Okwu (bt)
Natural Language Processing,Nhazi Asụsụ Nkịtị (bt)
Sequence Model,Sequence Model (bt)
Context Vector,Context Vector (bt)
Token ID,Token ID (bt)
Vocabulary Mapping,Mapping Vocabulary (bt)
Embedding Layer,Embedding Layer (bt)
Decoder Output,Nsonaazụ Decoder (bt)
Encoder State,Ọnọdụ Encoder (bt)
Fine Tuning,Nkwalite Model (bt)
Transfer Learning,Transfer Learning (bt)
Translation Quality,Ogo Ntụgharị Asụsụ (bt)
Language Model,Language Model (bt)
Corpus Statistics,Corpus Statistics (bt)
Neural Translation,Ntụgharị Neural (bt)
Artificial Intelligence System,Sistemụ AI (bt)
Nwa akwụkwọ nọ n'ụlọ akwụkwọ.,The student is in school. (bt)
Onye nkụzi na-akụzi mgbakọ.,The teacher is teaching mathematics. (bt)
Ha na-agụ akwụkwọ n'ọbá akwụkwọ.,They are reading books in the library. (bt)
Akwụkwọ a dị ọhụrụ.,This book is new. (bt)
Ụmụ akwụkwọ na-ede ule.,Students are writing an examination. (bt)
Onye isi ụlọ akwụkwọ bịara.,The principal arrived. (bt)
Anyị mụtara sayensị taa.,We learned science today. (bt)
Klas ahụ dị jụụ.,The classroom is quiet. (bt)
Nwaanyị ahụ gụrụ akụkọ.,The girl read a story. (bt)
Ha gara ụlọ nyocha.,They went to the laboratory. (bt)
Onye nkụzi jụrụ ajụjụ.,The teacher asked a question. (bt)
Ụmụaka na-amụta Bekee.,Children are learning English. (bt)
Ana m ede ihe n'akwụkwọ m.,I am writing in my notebook. (bt)
Ha nụrụ ihe onye nkụzi kwuru.,They heard what the teacher said. (bt)
Ọ gụsịrị akwụkwọ nke ọma.,He graduated successfully. (bt)
Anyị gara ọmụmụ ihe.,We attended a lesson. (bt)
Nwa akwụkwọ ahụ meriri asọmpi.,The student won the competition. (bt)
Ha mụtara akụkọ ihe mere eme.,They studied history. (bt)
Akwụkwọ ndị a bara uru.,These books are useful. (bt)
Ụlọ akwụkwọ meghere n'ụtụtụ.,The school opened in the morning. (bt)
Aga m ede ule echi,I will write an examination tomorrow (bt)
Nsonaazu ule aputala,The examination result has been released (bt)
Anom na akwadebe maka ule,I am preparing for an examination (bt)
Ule a siri ike,This examination is difficult (bt)
Aga m agu akwukwo abalị a,I will study tonight (bt)
Anyi nwere ule mgbako taa,We had a mathematics examination today (bt)
Enwetaram akara oma,I obtained a good score (bt)
Akara m ka mma ugbu a,My grades are better now (bt)
Anyi natara nsonaazu anyi,We received our results (bt)
Aga m eme nke oma n'ule,I will perform well in the examination (bt)
Onye nkuzi nyochara akwukwo ule anyi,The teacher marked our examination scripts (bt)
Anyi mechara ule anyi,We completed our examination (bt)
Aga m ede ule ikpeazu,I will write the final examination (bt)
Ule semester ga amalite n'izu na-abia,Semester examinations will begin next week (bt)
Akwukwo ule di njikere,The examination papers are ready (bt)
Aga m akwadebe nke oma maka ule,I will prepare properly for the examination (bt)
Anyi malitere ule n'oge,We started the examination on time (bt)
Onye nlekota ule nyochara akwukwo anyi,The invigilator checked our papers (bt)
Nwa akwukwo ahu gafere ule,The student passed the examination (bt)
O dara ule ahu,He failed the examination (bt)
Akara m di elu,My score is high (bt)
Akara m di ala,My score is low (bt)
Ajụjụ nile sitere n'akwukwo,All questions came from the textbook (bt)
Anyi nwetara nsonaazu n'izu a,We received results this week (bt)
Nkwadebe na-eweta ezigbo nsonaazu,Preparation leads to good results (bt)
Nnwale,Examination (bt)
Nnyocha,Test (bt)
Ajụjụ,Question (bt)
Azịza,Answer (bt)
Mpempe Ajụjụ,Question Paper (bt)
Nsonaazụ,Result (bt)
Akara,Score (bt)
Pasent,Percentage (bt)
Nnyocha N'etiti Semester,Mid Semester Test (bt)
Nnwale Ikpeazụ,Final Examination (bt)
Nnyocha Ọnụ,Oral Test (bt)
Nnyocha Ederede,Written Test (bt)
Nlekọta Nnwale,Examination Supervision (bt)
Onye Nlekọta Nnwale,Invigilator (bt)
Ndebanye Nnwale,Examination Registration (bt)
Ụbọchị Nnwale,Examination Date (bt)
Ụlọ Nnwale,Examination Hall (bt)
Mmejọ Nnwale,Examination Malpractice (bt)
Nsonaazụ Ọma,Good Result (bt)
Nsonaazụ Ọjọọ,Poor Result (bt)
Ịga Nke Ọma,Pass (bt)
Ịda Nnwale,Fail (bt)
Ntụle Akara,Grading (bt)
A+,A Plus (bt)
B+,B Plus (bt)
C,Credit (bt)
D,Pass Grade (bt)
F,Fail Grade (bt)
Nyocha Nsonaazụ,Result Analysis (bt)
Asambodo Nsonaazụ,Statement of Result (bt)
Anom na klas online,I am attending an online class (bt)
Ebudaram ihe omumu ahu,I downloaded the course material (bt)
Aga m elele vidio nkuzi,I will watch the lecture video (bt)
Anyi jiri Zoom mee klas,We used Zoom for the class (bt)
Onye nkuzi zipuru ihe omumu,The teacher sent the learning material (bt)
Aga m ebugo assignment m,I will upload my assignment (bt)
Anyi nwere ule online,We have an online test (bt)
M natara ozi email sitere n'aka onye nkuzi,I received an email from the lecturer (bt)
Ikpo okwu mmuta a bara uru,This learning platform is useful (bt)
Anyi sonyeere webinar taa,We attended a webinar today (bt)
Aga m abanye na portal ulo akwukwo,I will log into the school portal (bt)
Aga m ebudata akwukwo dijital,I will download the digital textbook (bt)
Enwere nsogbu internet,There is an internet problem (bt)
Anyi kparita uka na forum mmuta,We discussed in the learning forum (bt)
Nkuzi a di na sistemu online,This lesson is available online (bt)
Anyi jiri Google Classroom muta ihe,We used Google Classroom to learn (bt)
Nkuzi a di na portal,This lesson is on the portal (bt)
Aga m ebudata akwukwo PDF,I will download the PDF document (bt)
Vidiyo a bara uru nke ukwuu,This video is very useful (bt)
Anyi jiri email nata ozi,We received information through email (bt)
Onye nkuzi bulitere ihe omumu,The instructor uploaded learning materials (bt)
Anyi gara webinar taa,We attended a webinar today (bt)
Aga m lelee vidiyo ahu ozo,I will watch the video again (bt)
Anyi mere quiz online,We completed an online quiz (bt)
Portal ulo akwukwo na aru oru nke oma,The school portal is functioning properly (bt)
Mmụta N'Ịntanet,Online Learning (bt)
Nkuzi N'Ịntanet,Online Teaching (bt)
Ụlọ Akwụkwọ Dijitalụ,Digital Classroom (bt)
Nkuzi N'ebe Dị Iche,Ict Based Learning (bt)
Mmụta Site Na Ekwentị,Mobile Learning (bt)
Mmụta Site Na Kọmputa,Computer Based Learning (bt)
Nyocha N'Ịntanet,Online Assessment (bt)
Nnwale N'Ịntanet,Online Examination (bt)
Ọbá Akwụkwọ Dijitalụ,Digital Library (bt)
Ndekọ Mmụta,Learning Record (bt)
Ọmụmụ N'onwe Onye,Self Learning (bt)
Nkuzi Vidiyo,Video Lecture (bt)
Nkuzi Ọnụ,Audio Lecture (bt)
Nkuzi Dị Ndụ,Live Class (bt)
Nnyefe Ihe Omụmụ,Course Delivery (bt)
Nlekọta Mmụta,Learning Management (bt)
Ndebanye Akwụkwọ,Course Registration (bt)
Ihe Omụmụ,Course Material (bt)
Nkwukọrịta Nkuzi,Educational Communication (bt)
Ntụle Mmụta,Learning Evaluation (bt)
Aga m arụ ọrụ m n'afọ ikpeazụ,I will work on my final year project (bt)
Isiokwu oru ngo m bu ntụgharị asụsụ igwe,My project topic is machine translation (bt)
Anyi na-eji ọgụgụ isi arụ ọrụ ntụgharị asụsụ,We use artificial intelligence for translation (bt)
Asụsụ Igbo bụ asụsụ nwere obere data,Igbo is a low-resource language (bt)
Nchọpụta a na-elekwasị anya na asụsụ Igbo,This research focuses on the Igbo language (bt)
Anyi na-ewu usoro ntụgharị asụsụ,We are building a translation system (bt)
Usoro a na-eji neural network,This system uses a neural network (bt)
Anyi na-anakọta data maka nyocha,We are collecting data for research (bt)
Data dị mkpa maka ịzụlite model,Data is important for training a model (bt)
Anyi chọrọ ezigbo dataset,We need a quality dataset (bt)
A na-eji dataset a zụọ model,This dataset is used to train a model (bt)
Anyi ga-enyocha arụmọrụ model,We will evaluate the model performance (bt)
BLEU score na-atụ ogo ntụgharị asụsụ,BLEU score measures translation quality (bt)
Anyi jiri BLEU score nyochaa model,We used BLEU score to evaluate the model (bt)
Nsonaazụ gosiri mmezi dị ukwuu,The results showed significant improvement (bt)
Iterative back translation na-enyere aka imezi model,Iterative back translation helps improve the model (bt)
Anyi mepụtara data synthetic,We generated synthetic data (bt)
Data synthetic na-eme ka dataset buru ibu,Synthetic data increases dataset size (bt)
Anyi jikọtara data ọhụrụ na data mbụ,We combined new data with the original data (bt)
Model ọhụrụ karịrị nke mbụ arụmọrụ,The new model outperformed the previous one (bt)
Natural Language Processing bụ akụkụ AI,Natural Language Processing is a branch of AI (bt)
Anyi na-amụ NLP n'ime oru ngo a,We study NLP in this project (bt)
Neural Machine Translation na-eji deep learning,Neural Machine Translation uses deep learning (bt)
Model ahụ mụtara site na ọtụtụ atụ,The model learned from many examples (bt)
Anyi haziri dataset tupu ọzụzụ,We cleaned the dataset before training (bt)
A wepụrụ data ugboro ugboro,Duplicate data was removed (bt)
Anyi kewara dataset n'ime train na test,We split the dataset into train and test sets (bt)
Data validation nyere aka nyochaa model,Validation data helped evaluate the model (bt)
Anyi jiri GPU mee ọzụzụ model,We used a GPU to train the model (bt)
Ọzụzụ model were ọtụtụ awa,Model training took several hours (bt)
Anyi chekwara model ikpeazụ,We saved the final model (bt)
Model ahụ nwere ike ịtụgharị Igbo gaa Bekee,The model can translate Igbo to English (bt)
Model ahụ nwekwara ike ịtụgharị Bekee gaa Igbo,The model can also translate English to Igbo (bt)
Anyi nyochara njehie ntụgharị asụsụ,We analyzed translation errors (bt)
Nsonaazụ ikpeazụ dị mma,The final results are good (bt)
Anyi ga-emezi model n'ọdịnihu,We will improve the model in the future (bt)
Nchọpụta a bara uru nye mmepe asụsụ Igbo,This research is useful for Igbo language development (bt)
Teknụzụ asụsụ na-eto ngwa ngwa,Language technology is growing rapidly (bt)
Asụsụ mpaghara kwesịrị inweta nkwado teknụzụ,Local languages deserve technological support (bt)
Nchọpụta a na-enyere nchekwa asụsụ aka,This research supports language preservation (bt)
Orụ Ngo Afọ Ikpeazụ,Final Year Project (bt)
Nnyocha,Research (bt)
Akwụkwọ Nnyocha,Research Paper (bt)
Nkọwa Nsogbu,Problem Statement (bt)
Ebumnuche Nnyocha,Research Objective (bt)
Ajụjụ Nnyocha,Research Question (bt)
Usoro Nnyocha,Research Methodology (bt)
Nyocha Akwụkwọ,Literature Review (bt)
Nyocha Data,Data Analysis (bt)
Mmepe Sistem,System Development (bt)
Nnwale Sistem,System Testing (bt)
Nsonaazụ,Results (bt)
Mkparịta Ụka,Discussion (bt)
Mmechi,Conclusion (bt)
Aro,Recommendation (bt)
Nchịkọta Orụ,Project Summary (bt)
Onye Nlekọta,Supervisor (bt)
Onye Nnyocha,Researcher (bt)
Nchekwa Data,Data Storage (bt)
Ntụgharị Asụsụ Igbo Bekee,Igbo English Translation (bt)
Self Attention Mechanism,Self Attention Mechanism (bt)
Dataset,Dataset (bt)
Corpus,Corpus (bt)
Machine Translation,Ntụgharị Asụsụ Akpaaka (bt)
Artificial Intelligence,Amamihe Arụrụ Arụ (bt)
NLP na-enyere kọmputa ịghọta asụsụ,NLP helps computers understand language (bt)
Asụsụ mmadụ siri ike nghọta,Human language is difficult to understand (bt)
NLP bụ akụkụ AI,NLP is a branch of AI (bt)
Anyi na-arụ ọrụ na asụsụ Igbo,We are working with the Igbo language (bt)
A na-eji tokenizer kewaa ederede,A tokenizer splits text into tokens (bt)
Anyi na-ewepụ mkpụrụokwu na-adịghị mkpa,We remove unnecessary words (bt)
Dataset anyị nwere ederede Igbo na Bekee,Our dataset contains Igbo and English text (bt)
NLP na-akwado ntụgharị asụsụ,NLP supports language translation (bt)
Anyi na-amụ semantics na syntax,We study semantics and syntax (bt)
A ga-enyocha ogo ntụgharị asụsụ,Translation quality will be evaluated (bt)
Nhazi Asụsụ Nkịtị,Natural Language Processing (bt)
Ntụgharị Asụsụ,Machine Translation (bt)
Nhazi Okwu,Text Processing (bt)
Mgbakọ Okwu,Word Count (bt)
Nchịkọta Okwu,Corpus (bt)
Nyocha Mmetụta,Sentiment Analysis (bt)
Nkọwapụta Okwu,Text Classification (bt)
Ịmata Aha,Named Entity Recognition (bt)
Nchọpụta Asụsụ,Language Detection (bt)
Nkewa Ahịrịokwu,Sentence Segmentation (bt)
Nchịkọta Okwu Mgbọrọgwụ,Stemming (bt)
Nhazi Lemma,Lemmatization (bt)
Ntụgharị Okwu,Word Embedding (bt)
Nchekwa Okwu,Vocabulary (bt)
Nyocha Ahịrịokwu,Sentence Analysis (bt)
Nyocha Okwu,Word Analysis (bt)
Nnyocha Nkọwa,Semantic Analysis (bt)
Nnyocha Grama,Syntactic Analysis (bt)
Nghọta Asụsụ,Language Understanding (bt)
Ọgbọ Okwu,Text Generation (bt)
Mepụta Ahịrịokwu,Sentence Generation (bt)
Nyocha Mkparịta Ụka,Dialogue Analysis (bt)
Chatbot,Chatbot (bt)
Ajụjụ na Azịza,Question Answering (bt)
Nchịkọta Akụkọ,Text Summarization (bt)
Ntụgharị Okwu N'otu Asụsụ,Paraphrasing (bt)
Nyocha Mkpụrụedemede,Character Analysis (bt)
Nchọpụta Njehie,Error Detection (bt)
Mmezi Njehie,Error Correction (bt)
Nkọwa Okwu,Word Meaning (bt)
Njikọ Okwu,Word Association (bt)
Nnyocha Mkpọpụta,Speech Analysis (bt)
Nchọpụta Isiokwu,Topic Detection (bt)
Nchọpụta Isi Akụkọ,Topic Modeling (bt)
Anom na klaasi otu,I am in primary one (bt)
Anom na klaasi abuo,I am in primary two (bt)
Anom na klaasi ato,I am in primary three (bt)
Anom na klaasi ano,I am in primary four (bt)
Anom na klaasi ise,I am in primary five (bt)
Anom na klaasi isii,I am in primary six (bt)
Onye nkuzi anyi mara ezigbo ihe,Our teacher is knowledgeable (bt)
Anyi gara ulo akwukwo taa,We went to school today (bt)
Anyi guru sayensi taa,We studied science today (bt)
Anyi guru mgbako taa,We studied mathematics today (bt)
Ụlọ Akwụkwọ Praịmarị,Primary School (bt)
Nwa Akwụkwọ,Pupil (bt)
Onye Nkụzi,Teacher (bt)
