igbo,english
Insulin,Insulin
Drip,Intravenous Fluid
Sedative,Sedative
Anaesthesia,Anaesthesia
Nlekọta Ọgwụ,Medication Management
Mmeghachi Ọgwụ,Drug Reaction
Nchekwa Ọgwụ,Drug Storage
Ụbọchị Ngwụcha Ọgwụ,Expiry Date
Ọgwụ Akwụkwọ,Prescription Drug
Ọgwụ Na-enweghị Prescription,Over-the-Counter Drug
Dọkịta,Doctor
Nọọsụ,Nurse
Ụlọ ọgwụ,Hospital
Onye ọrịa,Patient
Ahụ ike,Health
Ọbara,Blood
Nyocha,Examination
Ọrịa,Sickness
Nlekọta,Care
Dọkịta bịara n'ụtụtụ.,The doctor arrived in the morning.
Nọọsụ nyere ọgwụ.,The nurse administered medicine.
Ahụ adịghị ya mma.,He is not feeling well.
Ha gara ụlọ ọgwụ.,They went to the hospital.
Nwata ahụ nwere ọkụ.,The child has a fever.
A ga-enyocha ọbara gị.,Your blood will be tested.
Na-aṅụ mmiri ọtụtụ.,Drink plenty of water.
Nri ọma na-eme ka ahụ dị ike.,Good food keeps the body healthy.
A ga-eme gị ọgwụgwọ.,You will receive treatment.
Onye ọrịa zuru ike.,The patient rested.
Ụlọ Ọgwụ,Hospital
Onye Ọrịa,Patient
Nlekọta Ọrịa,Patient Care
Ndebanye Ọrịa,Patient Registration
Ụlọ Nlekọta Mberede,Emergency Unit
Ọgwụgwọ,Treatment
Nnyocha Ahụ Ike,Medical Examination
Ịwa Ahụ,Surgery
Nlekọta Ahụ Ike,Healthcare
Ụlọ Nwata,Children Ward
Ụlọ Ndị Inyom,Maternity Ward
Nlekọta Ndị Agadi,Elderly Care
Nyocha Ọbara,Blood Test
Nyocha Mmiri,Urine Test
Ụlọ Ọgwụ Obodo,Clinic
Ụlọ Ọgwụ Gọọmenti,Government Hospital
Nlekọta Mberede,Emergency Care
Nnyefe Ọrịa,Patient Referral
Ụgbọ Mberede,Ambulance
Nlekọta Nwaanyị Dị Ime,Antenatal Care
Ịmụ Nwa,Child Delivery
Nlekọta Mgbe Amuchara Nwa,Postnatal Care
Ọgwụgwụ Ọrịa,Discharge
Nlekọta Ahụike Obodo,Community Health
Nkwado Ahụike,Health Support
Nchekwa Ahụ Ike,Health Protection
Ahụ Ike,Health
Obi,Heart
Ụbụrụ,Brain
Akụrụ,Kidney
Imeju,Liver
Akpa Ume,Lungs
Ọkpụkpụ,Bone
Akwara,Muscle
Anya,Eye
Ntị,Ear
Imi,Nose
Ọnụ,Mouth
Ezé,Tooth
Akpụkpọ Ahụ,Skin
Nyocha,Diagnosis
Nnyocha Ahụ Ike,Medical Checkup
Nyocha Laboratory,Laboratory Test
Nsonaazụ Test,Test Result
Mgbali Ọbara,Blood Pressure
Ọkwa Shuga,Blood Sugar Level
Nchekwa Ahụ Ike,Health Safety
Mmetụta Ọgwụ,Side Effect
Ahụ́ Ọma,Wellness
Mgbochi Ọrịa,Disease Prevention
Nlekọta Ahụike Obodo,Community Healthcare
Nkwado Ahụ Ike,Health Promotion
Kọmputa ahụ na-arụ ọrụ nke ọma,The computer is working properly
Anyi dere ngwanrọ ọhụrụ,We developed new software
Data ahụ echekwara nke ọma,The data was stored properly
Ịntanetị anaghị arụ ọrụ taa,The internet is not working today
Anyi jikọtara sava ahụ,We connected the server
Cybersecurity,Cybersecurity
Nchekwa Data,Data Security
Password,Password
Authentication,Authentication
Encryption,Encryption
Firewall,Firewall
Virus,Virus
Malware,Malware
Spyware,Spyware
Phishing,Phishing
Attack,Attack
Threat,Threat
Risk,Risk
Vulnerability,Vulnerability
Hacker,Hacker
Ethical Hacker,Ethical Hacker
Network Security,Network Security
Access Control,Access Control
Data Breach,Data Breach
Security Policy,Security Policy
Backup,Backup
Recovery,Recovery
Monitoring,Monitoring
Audit,Audit
VPN,VPN
Two Factor Authentication,Two Factor Authentication
Digital Certificate,Digital Certificate
Security Update,Security Update
Cloud Security,Cloud Security
Incident Response,Incident Response
Database,Database
Ahịrị,Row
Kọlụm,Column
Primary Key,Primary Key
Foreign Key,Foreign Key
SQL,SQL
MySQL,MySQL
PostgreSQL,PostgreSQL
SQLite,SQLite
MongoDB,MongoDB
Query,Query
Insert,Insert
Update,Update
Delete,Delete
Select,Select
Index,Index
Restore,Restore
Database Server,Database Server
Schema,Schema
Migration,Migration
Record,Record
Transaction,Transaction
Data Integrity,Data Integrity
Normalization,Normalization
CSV File,CSV File
Storage,Storage
Kọmputa,Computer
Ngwanrọ,Software
Ngwaike,Hardware
Ịntanetị,Internet
Nchekwa,Storage
Sava,Server
Netwọk,Network
Mmemme,Program
Algorithm,Algorithm
Mmepe Weebụ,Web Development
Weebụsaịtị,Website
Peeji Weebụ,Web Page
Frontend,Frontend
Backend,Backend
Server,Server
Client,Client
HTML,HTML
CSS,CSS
React,React
Vue,Vue
Angular,Angular
API,API
REST API,REST API
FastAPI,FastAPI
Django,Django
Authorization,Authorization
Login,Login
Signup,Signup
Dashboard,Dashboard
Deployment,Deployment
Hosting,Hosting
Domain Name,Domain Name
Responsive Design,Responsive Design
User Interface,User Interface
User Experience,User Experience
Navigation,Navigation
Web Application,Web Application
Software Engineering,Software Engineering
System Design,System Design
Requirement,Requirement
Analysis,Analysis
Implementation,Implementation
Testing,Testing
Maintenance,Maintenance
Documentation,Documentation
Project,Project
Sprint,Sprint
Agile,Agile
Scrum,Scrum
Bug,Bug
Feature,Feature
Release,Release
Repository,Repository
GitHub,GitHub
GitLab,GitLab
Branch,Branch
Merge,Merge
Pull Request,Pull Request
Code Review,Code Review
Architecture,Architecture
Module,Module
Component,Component
Workflow,Workflow
Lifecycle,Lifecycle
Development Team,Development Team
Kọmputa ahụ na-arụ ọrụ nke ọma.,The computer is working properly.
Ana m eji ekwentị m eme ihe.,I am using my phone.
Ịntanetị ahụ dị ngwa.,The internet is fast.
Ha wụnyere ngwanrọ ọhụrụ.,They installed new software.
Paswọọdụ ahụ dị nchebe.,The password is secure.
Sava ahụ kwụsịrị ịrụ ọrụ.,The server stopped working.
Ana m ebudata faịlụ ahụ.,I am downloading the file.
Ana m ezipu ozi email.,I am sending an email.
Ekwentị ọhụrụ ahụ dị mma.,The new phone is good.
Ngwa ahụ chọrọ mmelite.,The application needs an update.
Ana m eji Wi-Fi.,I am using Wi-Fi.
Nchekwa data dị mkpa.,Data security is important.
Robot ahụ na-arụ ọrụ ngwa ngwa.,The robot works quickly.
Ana m ede koodu ọhụrụ.,I am writing new code.
Sistemụ ahụ malitere ọzọ.,The system restarted.
Faịlụ ahụ echekwara nke ọma.,The file was saved successfully.
Ngwaọrụ ahụ nwere batrị ọhụrụ.,The device has a new battery.
Ha jikọtara netwọk ahụ.,They connected the network.
Ngwanrọ ahụ dị mfe iji.,The software is easy to use.
Ana m echekwa akwụkwọ ahụ n'igwe ojii.,I am saving the document to the cloud.
