igbo,english,source
Ndị mmadụ na-ahọpụta ndị isi.,People elect leaders.,round1_training_data
Ọtụtụ mmadụ hụrụ mgbasa ozi ahụ.,Many people saw the advertisement.,round1_training_data
Nri ahụ na-atọ ụtọ.,The food is delicious.,round1_training_data
Nwa akwụkwọ ahụ nwere nnukwu nrọ.,The student has a big dream.,round1_training_data
Dee aha gị.,Write your name.,round1_training_data
Anyị gara ịtụ ihe ubi.,We went to harvest the crops.,round1_training_data
Ònye kpọrọ gị?,Who called you?,round1_training_data
Onye mmemme meziri njehie ahụ.,The programmer fixed the error.,round1_training_data
Nwa akwụkwọ ahụ chọrọ enyemaka.,The student needs help.,round1_training_data
Mechie ụzọ.,Close the door.,round1_training_data
Ule ahụ ga-amalite echi.,The examination will begin tomorrow.,round1_training_data
Obodo dị iche iche nwere omenala dị iche iche.,Different communities have different cultures.,round1_training_data
Ụlọ ahịa ahụ mechiri n'abalị.,The shop closed at night.,round1_training_data
Nchọpụta dị mkpa na agụmakwụkwọ.,Research is important in education.,round1_training_data
Iwu ọhụrụ ahụ malitere ịrụ ọrụ.,The new law came into effect.,round1_training_data
Ezinụlọ ahụ riri nri ọnụ.,The family ate together.,round1_training_data
Akwụkwọ nri ahụ dị ọhụrụ.,The vegetables are fresh.,round1_training_data
Nchekwa ịntanetị dị mkpa.,Internet security is important.,round1_training_data
Biko bilie.,Please stand up.,round1_training_data
Ha yi uwe ọdịnala.,They wore traditional clothes.,round1_training_data
Nnyocha ahịa nyere aka.,The market research was helpful.,round1_training_data
Ọ gara ahịa.,He went to the market.,round1_training_data
Gọọmenti na-enye akwụkwọ ikike.,The government issues licenses.,round1_training_data
Azụmahịa chọrọ ezigbo atụmatụ.,Business requires good planning.,round1_training_data
Ha chọrọ ịbawanye uru.,They want to increase profit.,round1_training_data
Ụlọ ọhụrụ ahụ na-ewu.,The new building is being constructed.,round1_training_data
Biko kwuo ya ọzọ.,Please say it again.,round1_training_data
Mmega ahụ na-eme ka ahụ sie ike.,Exercise makes the body strong.,round1_training_data
Etetaala m.,I have woken up.,round1_training_data
Onye ahịa kpọrọ ụlọ ọrụ ahụ.,The customer called the company.,round1_training_data
Ịrụkọ ọrụ ọnụ na-eweta udo.,Working together brings peace.,round1_training_data
Onye nrụpụta weebụ na-arụ ọrụ na weebụsaịtị.,The web developer works on websites.,round1_training_data
Ọ na-eji vidio akparịta ụka.,He uses video to communicate.,round1_training_data
Azụmahịa dị mkpa maka mmepe obodo.,Business is important for community development.,round1_training_data
Ọbá akwụkwọ ahụ nwere ọtụtụ akwụkwọ.,The library has many books.,round1_training_data
Ịgụ akwụkwọ na-enyere ụmụ akwụkwọ aka.,Studying helps students.,round1_training_data
Ọrụ ugbo chọrọ ndidi.,Farming requires patience.,round1_training_data
Ọ na-eji kọmputa arụ ọrụ.,He uses a computer to work.,round1_training_data
Ekele dịrị gị.,Thank you.,round1_training_data
Gọọmenti na-akwado ọrụ ugbo.,The government supports agriculture.,round1_training_data
Agụmakwụkwọ na-enyere obodo aka ito eto.,Education helps a community develop.,round1_training_data
Onye nkuzi nyochara ọrụ ụmụ akwụkwọ.,The teacher checked the students' work.,round1_training_data
Dọkịta nyere ya ndụmọdụ.,the doctor gave advice.,round1_training_data
Onye ọrụ ugbo na-akụ mkpụrụ.,The farmer is planting seeds.,round1_training_data
Onye ọchụnta ego malitere azụmahịa ọhụrụ.,The entrepreneur started a new business.,round1_training_data
Onye ọrụ ugbo laghachiri n'ụlọ mgbe anyanwụ dara.,The farmer returned home after sunset.,round1_training_data
Ị chọrọ enyemaka?,Do you need help?,round1_training_data
Ọrụ ahụ dị ngwa ma dị mma.,The service is fast and good.,round1_training_data
Onye ọka iwu na-enyere ndị mmadụ aka.,A lawyer helps people.,round1_training_data
Ọ natara email ọhụrụ.,He received a new email.,round1_training_data
Ọdịnala bụ akụkụ dị mkpa nke ndụ ndị Igbo.,Tradition is an important part of Igbo life.,round1_training_data
Onye ọrụ ugbo na-achọpụta ọrịa n'osisi.,The farmer detects disease in the plants.,round1_training_data
Ọ na-enwe ahụ ọkụ kemgbe ụbọchị abụọ.,He has had a fever for two days.,round1_training_data
Ndị isi kwesịrị ịrụ ọrụ maka ndị mmadụ.,Leaders should work for the people.,round1_training_data
Ahịhịa na-emebi ihe ọkụkụ.,Weeds damage crops.,round1_training_data
Ọ dị mkpa ịmụta nkà ọhụrụ.,It is important to learn new skills.,round1_training_data
Ọ dịghị ihe mere.,Nothing happened.,round1_training_data
Jisie ike.,Take care.,round1_training_data
Kedu ihe ị na-eme?,What are you doing?,round1_training_data
Ndị mmadụ na-enyere ndị nọ na mkpa aka.,people help one another.,round1_training_data
Ezi ọchịchị na-enyere obodo aka.,Good governance helps the community.,round1_training_data
Ọ wụnyere ngwanrọ nchebe.,He installed security software.,round1_training_data
Ha na-ekpe ekpere maka ezinụlọ ha.,They pray for their family.,round1_training_data
Onye nkuzi guzoro n'ihu klaasị.,The teacher stood in front of the classroom.,round1_training_data
Onye nkuzi kọwara ya ọzọ.,The teacher explained it again.,round1_training_data
Onye ọrịa kwesịrị ịlele ahụike ya.,The patient should check his health.,round1_training_data
Anyị kwesịrị ige ndụmọdụ ndị okenye ntị.,We should listen to elders' advice.,round1_training_data
Ụmụ akwụkwọ na-arụkọ ọrụ ọnụ.,The students work together.,round1_training_data
Nwa akwụkwọ ahụ nwetara akara dị elu.,The student got a high mark.,round1_training_data
Chere ntakịrị.,Wait a moment.,round1_training_data
Ịgwa mmadụ okwu nwere ike inye aka.,Talking to someone can help.,round1_training_data
Akpa ọka ahụ dị arọ.,That bag of maize is heavy.,round1_training_data
Ndị mmadụ bụrụ abụ n'oge ofufe.,People sang during the worship service.,round1_training_data
Ụlọ ọrụ ahụ nwetara uru.,The company made a profit.,round1_training_data
Ndị isi na-eje ozi nye obodo.,Leaders serve the community.,round1_training_data
Ọ zipụrụ faịlụ ahụ.,He sent the file.,round1_training_data
Ahịhịa na-eto ngwa ngwa.,Grass grows quickly.,round1_training_data
Anyị ga-aga n'ihu.,We will move forward.,round1_training_data
Onye ụkọchukwu na-eduzi ofufe.,The priest leads the worship service.,round1_training_data
Akụkọ ndị nna nna dị mkpa.,The stories of ancestors are important.,round1_training_data
Bilie.,Stand up.,round1_training_data
Ọ wuru weebụsaịtị.,He built a website.,round1_training_data
Anyị zutere taa.,We met today.,round1_training_data
Azụmahịa ahụ nwetara nnukwu uru.,The business made a large profit.,round1_training_data
Ọ na-enyere ndị ọzọ aka mgbe niile.,He always helps others.,round1_training_data
Ndị mmadụ gara nzukọ obodo.,The people attended a community meeting.,round1_training_data
Ọ dị mkpa izere ihe ndị na-emebi ahụ.,It is important to avoid things that harm the body.,round1_training_data
Aga m ụlọ akwụkwọ.,I am going to school.,round1_training_data
Ụmụaka kwesịrị ịga ụlọ akwụkwọ.,Children should go to school.,round1_training_data
Ha na-echekwa ihe ubi n'ụlọ nkwakọba ihe.,They store the harvest in a warehouse.,round1_training_data
Agaghị m echefu ya.,I will not forget it.,round1_training_data
Achọrọ m ịmụ ihe.,I want to learn.,round1_training_data
Ọ na-eji ịntanetị kwa ụbọchị.,He uses the internet every day.,round1_training_data
Ụmụaka na-ekpe ekpere tupu ha erie nri.,The children pray before they eat.,round1_training_data
Kọmputa ahụ anaghị arụ ọrụ nke ọma.,the computer is not working.,round1_training_data
Ndị obodo na-akwadebe nri maka ndị ọbịa.,The community prepares food for visitors.,round1_training_data
Enwere m ajụjụ.,I have a question.,round1_training_data
Ọ na-amụ asụsụ mmemme.,He is learning a programming language.,round1_training_data
Emume okpukpe na-ejikọta ezinụlọ ọnụ.,Religious celebrations bring families together.,round1_training_data
Ọ wepụtara ego n'ụlọ akụ.,He withdrew money from the bank.,round1_training_data
Ọtụtụ mmadụ na-ekpe ekpere kwa ụbọchị.,Many people pray every day.,round1_training_data
Onye ahịa jiri ego kwụọ ụgwọ.,The customer paid with cash.,round1_training_data
Ụmụaka nwere ọṅụ n'emume ahụ.,The children enjoyed the celebration.,round1_training_data
Ọrụ ugbo na-enye ọtụtụ mmadụ ọrụ.,Agriculture provides jobs for many people.,round1_training_data
Onye ọrịa kwesịrị ịṅụ ọgwụ n'oge.,The patient should take the medicine on time.,round1_training_data
Aga m aga ugbu a.,I am leaving now.,round1_training_data
Paswọọdụ na-echekwa akaụntụ.,A password protects an account.,round1_training_data
Ọtụtụ ọrịa na-agbasa site na nje.,Many diseases spread through germs.,round1_training_data
Ha rere ọtụtụ ngwaahịa.,They sold many products.,round1_training_data
Ọmụmụ omenala na-enyere ụmụaka aka.,Learning about culture helps children.,round1_training_data
Ụmụ akwụkwọ na-amụ ihe n'ụlọ.,The students study at home.,round1_training_data
Ndị mmadụ na-ezukọ n'ebe ofufe.,People gather at the place of worship.,round1_training_data
Ụlọ ọrụ ahụ na-enye ọrụ dị iche iche.,The company provides different services.,round1_training_data
Ọrịa nwere ike imetụta ezinụlọ.,Illness can affect a family.,round1_training_data
Ndị Igbo na-akwanyere ndị ọbịa ùgwù.,The Igbo people respect visitors.,round1_training_data
Ezinụlọ bụ isi obodo.,The family is the foundation of the community.,round1_training_data
Kpọọ m mgbe ị rutere.,Call me when you arrive.,round1_training_data
Ngwaahịa ahụ rutere n'oge.,The product arrived on time.,round1_training_data
Ụlọ ọrụ ahụ na-ere ngwaahịa.,The company sells products.,round1_training_data
Ụlọ ochie ahụ bụ akụkụ nke akụkọ obodo.,The old building is part of the town's history.,round1_training_data
Ọ dịghị mma.,It is not good.,round1_training_data
Ụzụ na-enyere mmepe obodo aka.,Technology helps community development.,round1_training_data
Ọrịa nwere ike imetụta mmadụ.,Disease can affect a person.,round1_training_data
Ha malitere ọrụ ahụ.,They started the work.,round1_training_data
Onye mebiri iwu nwere ike ịta ahụhụ.,A person who breaks the law may be punished.,round1_training_data
Biko nọdụ ala.,Please sit down.,round1_training_data
Ha na-elekọta anụ ụlọ nke ọma.,They take good care of the livestock.,round1_training_data
Biko.,Please.,round1_training_data
"Mba, achọghị m enyemaka.","No, I do not need help.",round1_training_data
Omume ahụike dị mkpa.,Healthy habits are important.,round1_training_data
Ndị mmadụ na-aga ofufe n'ụtụtụ.,People go to worship in the morning.,round1_training_data
Udo dị mkpa n'obodo.,Peace is important in a community.,round1_training_data
Abalị dị jụụ.,The night is quiet.,round1_training_data
Ehihie ọma.,Good afternoon.,round1_training_data
Nsonaazụ nyocha ahụ dị mma.,The test result is good.,round1_training_data
Ọgụgụ isi mmadụ na-eji data amụta ihe.,Artificial intelligence learns from data.,round1_training_data
Ọ na-eziga ozi site na ekwentị.,He sends messages by phone.,round1_training_data
Mkpụrụ osisi dị mma maka ahụike.,Fruits are good for health.,round1_training_data
Ọ na-ekele Chineke kwa ụbọchị.,He thanks God every day.,round1_training_data
"Ee, enwere m oge.","Yes, I have time.",round1_training_data
Ịṅụ mmanya na-aba n'anya nwere ike imerụ ahụike.,Drinking alcohol can harm health.,round1_training_data
Ụmụ akwụkwọ na-ede ihe.,The students are writing.,round1_training_data
Ebee ka ị nọ?,Where are you?,round1_training_data
Onye ahịa zụtara ngwaahịa ahụ.,The customer bought the product.,round1_training_data
Ọzụzụ na-enyere ndị ntorobịa aka.,Training helps young people.,round1_training_data
Asụsụ na-echekwa akụkọ obodo.,Language preserves the history of a community.,round1_training_data
Gọọmenti na-akwado ahụike ọha.,The government supports public health.,round1_training_data
Ọtụtụ ihe ka anyị nwere ike ime.,There are many things we can do.,round1_training_data
Ụbọ aka bụ otu n'ime ngwá egwu ọdịnala.,The ubo-aka is one of the traditional musical instruments.,round1_training_data
Ị nwere oge taa?,do you have time?,round1_training_data
Aghọtaghị m.,I do not understand.,round1_training_data
Ọ dị mkpa ige ntị na klaasị.,It is important to listen in class.,round1_training_data
Onye mmemme nyochara koodu ahụ.,The programmer checked the code.,round1_training_data
Ndị mmadụ na-akwanyere nkwenkwe ibe ha ùgwù.,People respect one another's beliefs.,round1_training_data
Ngwanrọ ahụ nwere nsogbu.,The software has a problem.,round1_training_data
Ọnụ ahịa ngwaahịa ahụ dị ala.,The price of the product is low.,round1_training_data
Ofufe ahụ were otu awa.,The worship service lasted one hour.,round1_training_data
Nwa akwụkwọ ahụ nwere akwụkwọ.,The student has a book.,round1_training_data
Ama m.,I know.,round1_training_data
Aga m akpọ gị echi.,I will call you tomorrow.,round1_training_data
Ezi omume na-enyere mmadụ na obodo aka.,Good behavior helps both the individual and the community.,round1_training_data
Nwa akwụkwọ ahụ gbaziri akwụkwọ.,The student borrowed a book.,round1_training_data
Ụlọ ọrụ ahụ na-eme mgbasa ozi.,The company advertises.,round1_training_data
Ezinụlọ ya na-akwado ya.,His family supports him.,round1_training_data
Ha ji ọgwụ chebe ihe ọkụkụ.,They used chemicals to protect the crops.,round1_training_data
Ọ na-enweta nkasi obi n'oge nsogbu.,He finds comfort during difficult times.,round1_training_data
Ọ mepere faịlụ ahụ.,He opened the file.,round1_training_data
Mgbasa ozi ahụ dọtara ọtụtụ ndị ahịa.,The advertisement attracted many customers.,round1_training_data
Ka ụbọchị ọma.,Have a good day.,round1_training_data
Ọtụtụ mmadụ na-achọ ndụ dị mma.,Many people seek a good life.,round1_training_data
Gọọmenti na-echekwa gburugburu ebe obibi.,The government protects the environment.,round1_training_data
Ị mehiere.,You are wrong.,round1_training_data
Enwere m olileanya.,I have hope.,round1_training_data
Ije ije bụ ezigbo mmega ahụ.,Walking is good exercise.,round1_training_data
Mmiri ozuzo na-enyere ndị ọrụ ugbo aka.,Rain helps farmers.,round1_training_data
Atụmatụ ahụ bụ maka mmepe obodo.,The plan is for community development.,round1_training_data
Anọ m na-aga ahịa.,I am going to the market.,round1_training_data
Usoro ahụ na-eme ka ọrụ dị ngwa.,The system makes work faster.,round1_training_data
Ndị mmadụ na-achọ udo.,People seek peace.,round1_training_data
Gọọmenti na-akwado agụmakwụkwọ.,The government supports education.,round1_training_data
Anọ m ebe a.,I am here.,round1_training_data
Weebụsaịtị na-enye ozi.,A website provides information.,round1_training_data
Uwe ọdịnala ahụ mara mma.,The traditional clothing is beautiful.,round1_training_data
Gọọmenti na-arụ ọrụ iji meziwanye ndụ.,The government works to improve life.,round1_training_data
Gọọmenti na-enye ọrụ ọha.,The government provides public services.,round1_training_data
Nri dị mma na-enyere ahụike aka.,Healthy food helps health.,round1_training_data
Ha gere okwu ahụ ntị.,They listened to the speech.,round1_training_data
Ndị egwu na-akpọ ngwá egwu.,The musicians play musical instruments.,round1_training_data
Ọ na-arịa isi.,He has a headache.,round1_training_data
Mmiri dị mkpa maka ihe ọkụkụ.,Water is important for crops.,round1_training_data
Ndị mmadụ nwere nkwenkwe dị iche iche.,People have different beliefs.,round1_training_data
Ọtụtụ ndị mmadụ na-adabere n'ọrụ ugbo.,many people depend on farming.,round1_training_data
Ị nwere ike ịgwa m?,Can you tell me?,round1_training_data
Ụlọ ọgwụ ahụ dị nso.,The hospital is nearby.,round1_training_data
Ịmụ ihe dị mkpa.,Learning is important.,round1_training_data
Ana m ahụ ezinụlọ m n'anya.,I love my family.,round1_training_data
Ịmụ koodu chọrọ oge.,Learning to code takes time.,round1_training_data
Gọọmenti na-eme mkpọsa ahụike.,The government conducts health campaigns.,round1_training_data
Ọnụ ahịa ji dara.,The price of yam decreased.,round1_training_data
Akwụkwọ ahụ nwere ọtụtụ nkuzi.,The book contains many teachings.,round1_training_data
Onye ahịa nyere iwu ngwaahịa.,The customer ordered a product.,round1_training_data
A mere m nke ọma.,i am well.,round1_training_data
Onye ụkọchukwu kọrọ ozi ọma.,The priest delivered a sermon.,round1_training_data
Ha nwere ọtụtụ ọkụkọ.,They have many chickens.,round1_training_data
Ụlọ akwụkwọ ọha na-enye agụmakwụkwọ.,Public schools provide education.,round1_training_data
Ụlọ ọgwụ nwere akụrụngwa.,The hospital has equipment.,round1_training_data
Ndị uwe ojii na-arụ ọrụ ha.,The police officers do their work.,round1_training_data
Azụmahịa ahụ na-aga nke ọma.,The business is doing well.,round1_training_data
Ha kwurịtara banyere azụmahịa.,They discussed the business.,round1_training_data
Ụlọ ọrụ ahụ na-enye ọrụ ọha.,The office provides public services.,round1_training_data
Ule ahụ siri ike.,The examination was difficult.,round1_training_data
Ndị nne na nna na-ahọrọ aha ụmụ ha nke ọma.,Parents choose their children's names carefully.,round1_training_data
Ikpe ziri ezi dị mkpa n'obodo.,Justice is important in a community.,round1_training_data
Ọnụ ahịa ngwaahịa ahụ dị elu.,The price of the product is high.,round1_training_data
Ọ dị mkpa idobe gburugburu ebe obibi ọcha.,It is important to keep the environment clean.,round1_training_data
Ọdịnala na-akụziri anyị ihe gbasara ndị nna nna anyị.,Tradition teaches us about our ancestors.,round1_training_data
Gọọmenti na-akwado obere azụmahịa.,The government supports small businesses.,round1_training_data
Ha bufere ngwaahịa ahụ n'ụlọ ahịa.,They transported the product to the shop.,round1_training_data
Emume ahụ gara nke ọma.,The celebration went well.,round1_training_data
Igwefoto ahụ anaghị arụ ọrụ.,The camera is not working.,round1_training_data
Ọ dị mkpa ịkwanyere ndị ọzọ ùgwù.,It is important to respect others.,round1_training_data
Ụlọ akwụkwọ ahụ meghere n'ụtụtụ.,The school opened in the morning.,round1_training_data
Onye ọrụ ahụ nwetara ọrụ ahụ.,The employee got the job.,round1_training_data
Ezinụlọ ahụ mere emume ọnụ.,The family celebrated together.,round1_training_data
Ha na-amụ mgbakọ na mwepụ.,They study mathematics.,round1_training_data
Ndị mmadụ na-agụ akwụkwọ okpukpe.,People read religious books.,round1_training_data
Ọ na-asa aka ya tupu o rie nri.,He washes his hands before eating.,round1_training_data
Nwa akwụkwọ na-agụ akwụkwọ.,The student is reading a book.,round1_training_data
Ọrụ ya dị mma.,His work is good.,round1_training_data
Ngwaahịa ahụ sitere n'obodo ọzọ.,The product came from another city.,round1_training_data
Ngwa kọmputa na-enyere ndị ọrụ aka.,Computer software helps workers.,round1_training_data
Ọ chọrọ ịga mahadum n'ọdịnihu.,he wants to go to university.,round1_training_data
Ndị mmadụ kwesịrị iji teknụzụ mee ihe n'ụzọ ziri ezi.,People should use technology responsibly.,round1_training_data
Ọ na-enwe ihe mgbu n'afọ.,He has stomach pain.,round1_training_data
Aghọtara m.,I understand.,round1_training_data
Ụmụ akwụkwọ nọ na klaasị.,The students are in the classroom.,round1_training_data
Nwa ahụ nwetara ọgwụ mgbochi ọrịa.,The child received a vaccination.,round1_training_data
Atụrụ m egwu.,I am afraid.,round1_training_data
Ọzụzụ na-enyere ndị ọrụ ugbo aka.,Training helps farmers.,round1_training_data
Okpukpe na-akụzi udo.,Religion teaches peace.,round1_training_data
Ahụike uche dịkwa mkpa.,Mental health is also important.,round1_training_data
Abịala ebe a.,Come here.,round1_training_data
Ụlọ ọrụ ahụ na-arụ ọrụ n'obodo dị iche iche.,The company operates in different cities.,round1_training_data
Onye ọrụ ugbo rere ihe ubi ya.,The farmer sold his harvest.,round1_training_data
Ha chọrọ ịmata ihe ndị ahịa chọrọ.,They want to know what customers want.,round1_training_data
Onye nkuzi nyere akara.,The teacher gave marks.,round1_training_data
Ha na-ere nri n'ahịa.,They sell food at the market.,round1_training_data
Gọọmenti kwesịrị ige ndị mmadụ ntị.,The government should listen to the people.,round1_training_data
Ị nwere oge?,Do you have time?,round1_training_data
Ndị nne na nna na-akụziri ụmụ ha nkwenkwe ha.,Parents teach their children their beliefs.,round1_training_data
Ọ masịrị m.,I like it.,round1_training_data
Obere azụmahịa na-enyere ezinụlọ aka.,Small businesses help families.,round1_training_data
Nna m gara ọrụ.,My father went to work.,round1_training_data
Zipụ m ozi.,Send me a message.,round1_training_data
Ị kwuru eziokwu.,You are right.,round1_training_data
Onye ọrụ ugbo zụtara mkpụrụ ọka.,The farmer bought maize seeds.,round1_training_data
Ụlọ akwụkwọ ahụ nwere ọtụtụ klaasị.,The school has many classrooms.,round1_training_data
Nwa akwụkwọ ahụ dara ule ahụ.,The student failed the examination.,round1_training_data
Nna ahụ na-ekpe ekpere kwa ụtụtụ.,The father prays every morning.,round1_training_data
Nri ọdịnala na-egosi akụkọ obodo.,Traditional food reflects the history of a community.,round1_training_data
Ụzọ ọma na-enyere njem aka.,Good roads help transportation.,round1_training_data
Onye nkuzi nyere ndụmọdụ.,The teacher gave advice.,round1_training_data
Ọtụtụ mmadụ na-asụ Igbo n'ụlọ.,Many people speak Igbo at home.,round1_training_data
Ịkekọrịta ihe na-egosi ịhụnanya.,Sharing shows love.,round1_training_data
Nghọta dị mkpa na ọchịchị.,Transparency is important in governance.,round1_training_data
Ọrụ ugbo chọrọ ezigbo atụmatụ.,Farming requires good planning.,round1_training_data
Ọrụ ugbo na-enyere obodo aka ito eto.,Agriculture helps the community develop.,round1_training_data
Ụmụaka nyere nne na nna ha aka n'ubi.,The children helped their parents on the farm.,round1_training_data
Ịchekwa omenala na-enyere ọgbọ na-abịa aka.,Preserving culture helps future generations.,round1_training_data
Ọ na-ehi ụra awa asatọ kwa abalị.,He sleeps for eight hours every night.,round1_training_data
Ndị mmadụ na-arụkọ ọrụ ọnụ.,People work together.,round1_training_data
Ọrịa shuga chọrọ nlekọta mgbe niile.,Diabetes requires regular care.,round1_training_data
Ndị mmadụ nyere ndụmọdụ.,The people gave advice.,round1_training_data
Ịnabata ọbịa bụ omenala dị mkpa.,Welcoming visitors is an important tradition.,round1_training_data
Aha ahụ nwere ihe ọ pụtara.,The name has a meaning.,round1_training_data
Ịrụkọ ọrụ ọnụ na-eweta mmepe.,Working together brings development.,round1_training_data
Ọ dịghị mma ịṅụ ọgwụ n'enweghị ndụmọdụ.,It is not good to take medicine without advice.,round1_training_data
Ekwentị bụ ngwaọrụ a na-ejikarị eme ihe.,A phone is a commonly used device.,round1_training_data
Ụmụaka na-egwu egwu.,The children are playing.,round1_training_data
Ọ dị mkpa imelite ngwanrọ.,It is important to update software.,round1_training_data
Uwe ọdịnala na-egosi omenala mmadụ.,Traditional clothing shows a person's culture.,round1_training_data
Ọ na-arụ ọrụ nwa oge.,He works part time.,round1_training_data
Abịa m ugbu a.,I am coming now.,round1_training_data
Onye njikwa nwere nzukọ.,The manager has a meeting.,round1_training_data
Mahadum ahụ nwere ọtụtụ ụmụ akwụkwọ.,The university has many students.,round1_training_data
Onye ọrụ ugbo debere mkpụrụ n'ebe nchekwa.,The farmer stored the seeds in a safe place.,round1_training_data
Nne m nọ n'ụlọ.,My mother is at home.,round1_training_data
Ọrụ ugbo chọrọ ndidi na ike.,farming requires patience.,iterative_back_translation_round_2
Onye ọrụ ugbo gara ahịa ree ihe ubi ya.,the farmer went to the market.,iterative_back_translation_round_2
Ahịa ngwaahịa ahụ dị elu taa.,the price of the product is high.,iterative_back_translation_round_2
Ndị okenye na-akụziri ụmụaka omenala.,children learn their culture.,iterative_back_translation_round_2
Asụsụ bụ akụkụ dị mkpa nke omenala.,tradition is an important part of culture.,iterative_back_translation_round_2
Ebee ka ị na-aga?,where are you?,iterative_back_translation_round_2
Biko nyere m aka.,please help me.,iterative_back_translation_round_2
Amaghị m azịza ya.,i do not know.,iterative_back_translation_round_2
Ka anyị gaa ọnụ.,let us go.,iterative_back_translation_round_2
Kpọọ m mgbe ị rutere.,call me when you arrive.,iterative_back_translation_round_2
Ụmụ akwụkwọ na-amụ ihe n'ụlọ akwụkwọ.,the students study at home.,iterative_back_translation_round_2
Onye nkuzi nyere ụmụ akwụkwọ ọrụ ụlọ.,the teacher gave them homework.,iterative_back_translation_round_2
Ụbọchị taa dị ọkụ.,it is hot today.,iterative_back_translation_round_2
Ọtụtụ ụmụaka na-egwu bọl.,the children are playing.,iterative_back_translation_round_2
Nne na nna ya nọ n'ụlọ.,the mother is at home.,iterative_back_translation_round_2
Iwu ọhụrụ malitere ịrụ ọrụ.,the new law came into effect.,iterative_back_translation_round_2
Gọọmenti na-akwado agụmakwụkwọ.,the government supports education.,iterative_back_translation_round_2
Ahụ ike dị mkpa maka mmadụ niile.,the company is important for community.,iterative_back_translation_round_2
Dọkịta nyochara onye ọrịa ahụ.,the doctor examines the patient.,iterative_back_translation_round_2
Ịsa aka na-enyere aka igbochi ọrịa.,cleanliness helps prevent germs.,iterative_back_translation_round_2
Ọ na-enwe mgbu n'afọ.,he has pain in his body.,iterative_back_translation_round_2
Ha na-ekpe ekpere maka ezinụlọ ha.,they pray for their family.,iterative_back_translation_round_2
Ndị mmadụ na-ege ntị n'okwu onye ndu.,the people listened to the speech.,iterative_back_translation_round_2
Ndị mmadụ gbakọtara n'udo.,people seek peace.,iterative_back_translation_round_2
Onye mmemme na-ede koodu ọhụrụ.,the programmer writes code.,iterative_back_translation_round_2
Onye mmemme chọtara njehie na koodu ahụ.,the programmer fixed the error.,iterative_back_translation_round_2
Ọ mụtara asụsụ mmemme ọhụrụ.,he learned something new.,iterative_back_translation_round_2
